Emocion,Termino_emocional,Lista_sinonimos,Negacion_Considerar,Respuesta,Notas_Culturales,Intensidad,
ira,atrocidad,,sí,,NRC EmoLex,media,
ira,ataque,,sí,,NRC EmoLex,media,
ira,agresor,,sí,,NRC EmoLex,media,
ira,abogado,,sí,,NRC EmoLex,media,
ira,avaricia,,sí,,NRC EmoLex,media,
ira,vengador,,sí,,NRC EmoLex,media,
ira,contrario,,sí,,NRC EmoLex,media,
ira,aversión,,sí,,NRC EmoLex,media,
ira,horrible,,sí,,NRC EmoLex,media,
ira,columna vertebral,,sí,,NRC EmoLex,media,
ira,malo,,sí,,NRC EmoLex,media,
ira,tejón,,sí,,NRC EmoLex,media,
ira,maldad,,sí,,NRC EmoLex,media,
ira,perdición,,sí,,NRC EmoLex,media,
ira,estallido,,sí,,NRC EmoLex,media,
ira,petardo,,sí,,NRC EmoLex,media,
ira,desterrar,,sí,,NRC EmoLex,media,
ira,alejado,,sí,,NRC EmoLex,media,
ira,destierro,,sí,,NRC EmoLex,media,
ira,bancarrota,,sí,,NRC EmoLex,media,
ira,alma en pena,,sí,,NRC EmoLex,media,
ira,lengüeta,,sí,,NRC EmoLex,media,
ira,bárbaro,,sí,,NRC EmoLex,media,
ira,ladrar,,sí,,NRC EmoLex,media,
ira,barrera,,sí,,NRC EmoLex,media,
ira,bastión,,sí,,NRC EmoLex,media,
ira,batallón,,sí,,NRC EmoLex,media,
ira,masa,,sí,,NRC EmoLex,media,
ira,batería,,sí,,NRC EmoLex,media,
ira,batalla,,sí,,NRC EmoLex,media,
ira,luchó,,sí,,NRC EmoLex,media,
ira,bayoneta,,sí,,NRC EmoLex,media,
ira,llevar,,sí,,NRC EmoLex,media,
ira,osuno,,sí,,NRC EmoLex,media,
ira,bestia,,sí,,NRC EmoLex,media,
ira,golpeando,,sí,,NRC EmoLex,media,
ira,abeja,,sí,,NRC EmoLex,media,
ira,empequeñecer,,sí,,NRC EmoLex,media,
ira,beligerante,,sí,,NRC EmoLex,media,
ira,fuelle,,sí,,NRC EmoLex,media,
ira,cinturón,,sí,,NRC EmoLex,media,
ira,enloquecido,,sí,,NRC EmoLex,media,
ira,traicionar,,sí,,NRC EmoLex,media,
ira,traición,,sí,,NRC EmoLex,media,
ira,parcialidad,,sí,,NRC EmoLex,media,
ira,dimes y diretes,,sí,,NRC EmoLex,media,
ira,fanático,,sí,,NRC EmoLex,media,
ira,fanático,,sí,,NRC EmoLex,media,
ira,bilis,,sí,,NRC EmoLex,media,
ira,abedul,,sí,,NRC EmoLex,media,
ira,lugar de nacimiento,,sí,,NRC EmoLex,media,
ira,perra,,sí,,NRC EmoLex,media,
ira,amargamente,,sí,,NRC EmoLex,media,
ira,amargura,,sí,,NRC EmoLex,media,
ira,chantaje,,sí,,NRC EmoLex,media,
ira,culpa,,sí,,NRC EmoLex,media,
ira,blasfemo,,sí,,NRC EmoLex,media,
ira,blasfemia,,sí,,NRC EmoLex,media,
ira,explosión,,sí,,NRC EmoLex,media,
ira,evidente,,sí,,NRC EmoLex,media,
ira,resplandor,,sí,,NRC EmoLex,media,
ira,defecto,,sí,,NRC EmoLex,media,
ira,bloqueo,,sí,,NRC EmoLex,media,
ira,matanza,,sí,,NRC EmoLex,media,
ira,sanguinario,,sí,,NRC EmoLex,media,
ira,sangriento,,sí,,NRC EmoLex,media,
ira,FALSO,,sí,,NRC EmoLex,media,
ira,bullicioso,,sí,,NRC EmoLex,media,
ira,bomba,,sí,,NRC EmoLex,media,
ira,bombardear,,sí,,NRC EmoLex,media,
ira,bombardeo,,sí,,NRC EmoLex,media,
ira,molesto,,sí,,NRC EmoLex,media,
ira,combate,,sí,,NRC EmoLex,media,
ira,boxeo,,sí,,NRC EmoLex,media,
ira,pelearse,,sí,,NRC EmoLex,media,
ira,descarado,,sí,,NRC EmoLex,media,
ira,azufre,,sí,,NRC EmoLex,media,
ira,asar,,sí,,NRC EmoLex,media,
ira,roto,,sí,,NRC EmoLex,media,
ira,esfuerzo,,sí,,NRC EmoLex,media,
ira,brutal,,sí,,NRC EmoLex,media,
ira,brutalidad,,sí,,NRC EmoLex,media,
ira,bruto,,sí,,NRC EmoLex,media,
ira,buffet,,sí,,NRC EmoLex,media,
ira,pesadilla,,sí,,NRC EmoLex,media,
ira,matón,,sí,,NRC EmoLex,media,
ira,gorrón,,sí,,NRC EmoLex,media,
ira,entierro,,sí,,NRC EmoLex,media,
ira,Burke,,sí,,NRC EmoLex,media,
ira,Arrestado,,sí,,NRC EmoLex,media,
ira,carnicero,,sí,,NRC EmoLex,media,
ira,cacofonía,,sí,,NRC EmoLex,media,
ira,canalla,,sí,,NRC EmoLex,media,
ira,calloso,,sí,,NRC EmoLex,media,
ira,haciendo campaña,,sí,,NRC EmoLex,media,
ira,cáncer,,sí,,NRC EmoLex,media,
ira,caña,,sí,,NRC EmoLex,media,
ira,llaga gangrenosa,,sí,,NRC EmoLex,media,
ira,cañón,,sí,,NRC EmoLex,media,
ira,descuido,,sí,,NRC EmoLex,media,
ira,carnicería,,sí,,NRC EmoLex,media,
ira,dinero,,sí,,NRC EmoLex,media,
ira,víctima,,sí,,NRC EmoLex,media,
ira,catástrofe,,sí,,NRC EmoLex,media,
ira,precaución,,sí,,NRC EmoLex,media,
ira,celebridad,,sí,,NRC EmoLex,media,
ira,censurar,,sí,,NRC EmoLex,media,
ira,paja,,sí,,NRC EmoLex,media,
ira,desafío,,sí,,NRC EmoLex,media,
ira,cantar,,sí,,NRC EmoLex,media,
ira,caos,,sí,,NRC EmoLex,media,
ira,caótico,,sí,,NRC EmoLex,media,
ira,hacer trampa,,sí,,NRC EmoLex,media,
ira,ahogo,,sí,,NRC EmoLex,media,
ira,demandante,,sí,,NRC EmoLex,media,
ira,clamor,,sí,,NRC EmoLex,media,
ira,choque,,sí,,NRC EmoLex,media,
ira,chocando,,sí,,NRC EmoLex,media,
ira,garra,,sí,,NRC EmoLex,media,
ira,obligar,,sí,,NRC EmoLex,media,
ira,coerción,,sí,,NRC EmoLex,media,
ira,frialdad,,sí,,NRC EmoLex,media,
ira,colisión,,sí,,NRC EmoLex,media,
ira,colusión,,sí,,NRC EmoLex,media,
ira,combate,,sí,,NRC EmoLex,media,
ira,combatiente,,sí,,NRC EmoLex,media,
ira,combativo,,sí,,NRC EmoLex,media,
ira,conmoción,,sí,,NRC EmoLex,media,
ira,comunismo,,sí,,NRC EmoLex,media,
ira,quejarse,,sí,,NRC EmoLex,media,
ira,queja,,sí,,NRC EmoLex,media,
ira,complicar,,sí,,NRC EmoLex,media,
ira,comprimir,,sí,,NRC EmoLex,media,
ira,compulsión,,sí,,NRC EmoLex,media,
ira,ocultación,,sí,,NRC EmoLex,media,
ira,concusión,,sí,,NRC EmoLex,media,
ira,condenar,,sí,,NRC EmoLex,media,
ira,condenación,,sí,,NRC EmoLex,media,
ira,condescendencia,,sí,,NRC EmoLex,media,
ira,confinar,,sí,,NRC EmoLex,media,
ira,confinado,,sí,,NRC EmoLex,media,
ira,confinamiento,,sí,,NRC EmoLex,media,
ira,confiscar,,sí,,NRC EmoLex,media,
ira,conflagración,,sí,,NRC EmoLex,media,
ira,conflicto,,sí,,NRC EmoLex,media,
ira,confrontar,,sí,,NRC EmoLex,media,
ira,confusión,,sí,,NRC EmoLex,media,
ira,conquista,,sí,,NRC EmoLex,media,
ira,conspirador,,sí,,NRC EmoLex,media,
ira,consternación,,sí,,NRC EmoLex,media,
ira,restricción,,sí,,NRC EmoLex,media,
ira,desprecio,,sí,,NRC EmoLex,media,
ira,despreciable,,sí,,NRC EmoLex,media,
ira,desdeñoso,,sí,,NRC EmoLex,media,
ira,contencioso,,sí,,NRC EmoLex,media,
ira,contrabando,,sí,,NRC EmoLex,media,
ira,contradecir,,sí,,NRC EmoLex,media,
ira,controversial,,sí,,NRC EmoLex,media,
ira,condenar,,sí,,NRC EmoLex,media,
ira,cooperativa,,sí,,NRC EmoLex,media,
ira,imitador,,sí,,NRC EmoLex,media,
ira,corrompiendo,,sí,,NRC EmoLex,media,
ira,consejero,,sí,,NRC EmoLex,media,
ira,golpe,,sí,,NRC EmoLex,media,
ira,tribunal,,sí,,NRC EmoLex,media,
ira,osco,,sí,,NRC EmoLex,media,
ira,agrietado,,sí,,NRC EmoLex,media,
ira,de maniático,,sí,,NRC EmoLex,media,
ira,loco,,sí,,NRC EmoLex,media,
ira,loca,,sí,,NRC EmoLex,media,
ira,delito,,sí,,NRC EmoLex,media,
ira,delincuente,,sí,,NRC EmoLex,media,
ira,criminalidad,,sí,,NRC EmoLex,media,
ira,crítica,,sí,,NRC EmoLex,media,
ira,criticar,,sí,,NRC EmoLex,media,
ira,cruz,,sí,,NRC EmoLex,media,
ira,crucifixión,,sí,,NRC EmoLex,media,
ira,cruel,,sí,,NRC EmoLex,media,
ira,con crueldad,,sí,,NRC EmoLex,media,
ira,crueldad,,sí,,NRC EmoLex,media,
ira,crujido,,sí,,NRC EmoLex,media,
ira,cruzada,,sí,,NRC EmoLex,media,
ira,aplastada,,sí,,NRC EmoLex,media,
ira,aplastante,,sí,,NRC EmoLex,media,
ira,canalla,,sí,,NRC EmoLex,media,
ira,maldición,,sí,,NRC EmoLex,media,
ira,maldito,,sí,,NRC EmoLex,media,
ira,maldiciendo,,sí,,NRC EmoLex,media,
ira,terco,,sí,,NRC EmoLex,media,
ira,asesino,,sí,,NRC EmoLex,media,
ira,corte,,sí,,NRC EmoLex,media,
ira,chapoteando,,sí,,NRC EmoLex,media,
ira,demonio,,sí,,NRC EmoLex,media,
ira,daño,,sí,,NRC EmoLex,media,
ira,dama,,sí,,NRC EmoLex,media,
ira,maldita sea,,sí,,NRC EmoLex,media,
ira,condenación,,sí,,NRC EmoLex,media,
ira,oscuridad,,sí,,NRC EmoLex,media,
ira,punteado,,sí,,NRC EmoLex,media,
ira,ruin,,sí,,NRC EmoLex,media,
ira,mortal,,sí,,NRC EmoLex,media,
ira,muerte,,sí,,NRC EmoLex,media,
ira,engaño,,sí,,NRC EmoLex,media,
ira,engañar,,sí,,NRC EmoLex,media,
ira,engañado,,sí,,NRC EmoLex,media,
ira,desacreditar,,sí,,NRC EmoLex,media,
ira,difamatorio,,sí,,NRC EmoLex,media,
ira,defecto,,sí,,NRC EmoLex,media,
ira,acusado,,sí,,NRC EmoLex,media,
ira,defensa,,sí,,NRC EmoLex,media,
ira,desafío,,sí,,NRC EmoLex,media,
ira,desafiante,,sí,,NRC EmoLex,media,
ira,desinflar,,sí,,NRC EmoLex,media,
ira,defraudar,,sí,,NRC EmoLex,media,
ira,desafiar,,sí,,NRC EmoLex,media,
ira,degeneración,,sí,,NRC EmoLex,media,
ira,demora,,sí,,NRC EmoLex,media,
ira,perjudicial,,sí,,NRC EmoLex,media,
ira,delincuente,,sí,,NRC EmoLex,media,
ira,engaño,,sí,,NRC EmoLex,media,
ira,delirante,,sí,,NRC EmoLex,media,
ira,pedir,,sí,,NRC EmoLex,media,
ira,demoler,,sí,,NRC EmoLex,media,
ira,demonio,,sí,,NRC EmoLex,media,
ira,demoníaco,,sí,,NRC EmoLex,media,
ira,denunciar,,sí,,NRC EmoLex,media,
ira,denuncia,,sí,,NRC EmoLex,media,
ira,negar,,sí,,NRC EmoLex,media,
ira,deplorable,,sí,,NRC EmoLex,media,
ira,deplorar,,sí,,NRC EmoLex,media,
ira,deportación,,sí,,NRC EmoLex,media,
ira,depravado,,sí,,NRC EmoLex,media,
ira,depravación,,sí,,NRC EmoLex,media,
ira,depreciar,,sí,,NRC EmoLex,media,
ira,depreciado,,sí,,NRC EmoLex,media,
ira,deprimido,,sí,,NRC EmoLex,media,
ira,privación,,sí,,NRC EmoLex,media,
ira,trastornado,,sí,,NRC EmoLex,media,
ira,burla,,sí,,NRC EmoLex,media,
ira,humillación,,sí,,NRC EmoLex,media,
ira,despectivo,,sí,,NRC EmoLex,media,
ira,profanación,,sí,,NRC EmoLex,media,
ira,Desierto,,sí,,NRC EmoLex,media,
ira,abandonado,,sí,,NRC EmoLex,media,
ira,merecer,,sí,,NRC EmoLex,media,
ira,abstenerse,,sí,,NRC EmoLex,media,
ira,desesperación,,sí,,NRC EmoLex,media,
ira,despreciable,,sí,,NRC EmoLex,media,
ira,despreciar,,sí,,NRC EmoLex,media,
ira,despotismo,,sí,,NRC EmoLex,media,
ira,destruido,,sí,,NRC EmoLex,media,
ira,destructor,,sí,,NRC EmoLex,media,
ira,destruyendo,,sí,,NRC EmoLex,media,
ira,destrucción,,sí,,NRC EmoLex,media,
ira,destructivo,,sí,,NRC EmoLex,media,
ira,detenido,,sí,,NRC EmoLex,media,
ira,deterioro,,sí,,NRC EmoLex,media,
ira,detestar,,sí,,NRC EmoLex,media,
ira,detonación,,sí,,NRC EmoLex,media,
ira,detraer,,sí,,NRC EmoLex,media,
ira,devastar,,sí,,NRC EmoLex,media,
ira,devastador,,sí,,NRC EmoLex,media,
ira,devastación,,sí,,NRC EmoLex,media,
ira,demonio,,sí,,NRC EmoLex,media,
ira,diabólico,,sí,,NRC EmoLex,media,
ira,diatriba,,sí,,NRC EmoLex,media,
ira,dictatorial,,sí,,NRC EmoLex,media,
ira,dictadura,,sí,,NRC EmoLex,media,
ira,dificultad,,sí,,NRC EmoLex,media,
ira,discrepar,,sí,,NRC EmoLex,media,
ira,en desacuerdo,,sí,,NRC EmoLex,media,
ira,desacuerdo,,sí,,NRC EmoLex,media,
ira,no permitido,,sí,,NRC EmoLex,media,
ira,decepcionar,,sí,,NRC EmoLex,media,
ira,decepcionado,,sí,,NRC EmoLex,media,
ira,desaprobar,,sí,,NRC EmoLex,media,
ira,desaprobado,,sí,,NRC EmoLex,media,
ira,desaprobando,,sí,,NRC EmoLex,media,
ira,desastre,,sí,,NRC EmoLex,media,
ira,desastroso,,sí,,NRC EmoLex,media,
ira,negar,,sí,,NRC EmoLex,media,
ira,descontento,,sí,,NRC EmoLex,media,
ira,discordia,,sí,,NRC EmoLex,media,
ira,discriminar,,sí,,NRC EmoLex,media,
ira,discriminación,,sí,,NRC EmoLex,media,
ira,desdén,,sí,,NRC EmoLex,media,
ira,enfermedad,,sí,,NRC EmoLex,media,
ira,desfigurado,,sí,,NRC EmoLex,media,
ira,desgracia,,sí,,NRC EmoLex,media,
ira,deshonrado,,sí,,NRC EmoLex,media,
ira,vergonzoso,,sí,,NRC EmoLex,media,
ira,descontento,,sí,,NRC EmoLex,media,
ira,asco,,sí,,NRC EmoLex,media,
ira,desagradable,,sí,,NRC EmoLex,media,
ira,deshonesto,,sí,,NRC EmoLex,media,
ira,deshonra,,sí,,NRC EmoLex,media,
ira,desilusión,,sí,,NRC EmoLex,media,
ira,desinformación,,sí,,NRC EmoLex,media,
ira,disgusto,,sí,,NRC EmoLex,media,
ira,disgustado,,sí,,NRC EmoLex,media,
ira,dislocado,,sí,,NRC EmoLex,media,
ira,consternación,,sí,,NRC EmoLex,media,
ira,despido,,sí,,NRC EmoLex,media,
ira,desobediencia,,sí,,NRC EmoLex,media,
ira,desobediente,,sí,,NRC EmoLex,media,
ira,desobedecer,,sí,,NRC EmoLex,media,
ira,menospreciar,,sí,,NRC EmoLex,media,
ira,despectivo,,sí,,NRC EmoLex,media,
ira,disparidad,,sí,,NRC EmoLex,media,
ira,desplazado,,sí,,NRC EmoLex,media,
ira,disgustado,,sí,,NRC EmoLex,media,
ira,desposeído,,sí,,NRC EmoLex,media,
ira,disputar,,sí,,NRC EmoLex,media,
ira,descalificado,,sí,,NRC EmoLex,media,
ira,de mala fama,,sí,,NRC EmoLex,media,
ira,falta de respeto,,sí,,NRC EmoLex,media,
ira,irrespetuoso,,sí,,NRC EmoLex,media,
ira,ruptura,,sí,,NRC EmoLex,media,
ira,disensión,,sí,,NRC EmoLex,media,
ira,deservicio,,sí,,NRC EmoLex,media,
ira,disidente,,sí,,NRC EmoLex,media,
ira,disolución,,sí,,NRC EmoLex,media,
ira,disonancia,,sí,,NRC EmoLex,media,
ira,distraído,,sí,,NRC EmoLex,media,
ira,distrayendo,,sí,,NRC EmoLex,media,
ira,angustia,,sí,,NRC EmoLex,media,
ira,angustioso,,sí,,NRC EmoLex,media,
ira,desconfianza,,sí,,NRC EmoLex,media,
ira,disturbio,,sí,,NRC EmoLex,media,
ira,perturbado,,sí,,NRC EmoLex,media,
ira,en desuso,,sí,,NRC EmoLex,media,
ira,divorcio,,sí,,NRC EmoLex,media,
ira,dominar,,sí,,NRC EmoLex,media,
ira,dominación,,sí,,NRC EmoLex,media,
ira,Día del Juicio Final,,sí,,NRC EmoLex,media,
ira,terrible,,sí,,NRC EmoLex,media,
ira,duelo,,sí,,NRC EmoLex,media,
ira,deshecho,,sí,,NRC EmoLex,media,
ira,engañar,,sí,,NRC EmoLex,media,
ira,duplicidad,,sí,,NRC EmoLex,media,
ira,coacción,,sí,,NRC EmoLex,media,
ira,muriendo,,sí,,NRC EmoLex,media,
ira,terremoto,,sí,,NRC EmoLex,media,
ira,efigie,,sí,,NRC EmoLex,media,
ira,enorme,,sí,,NRC EmoLex,media,
ira,codo,,sí,,NRC EmoLex,media,
ira,duende,,sí,,NRC EmoLex,media,
ira,eliminación,,sí,,NRC EmoLex,media,
ira,gravamen,,sí,,NRC EmoLex,media,
ira,sin fin,,sí,,NRC EmoLex,media,
ira,enemigo,,sí,,NRC EmoLex,media,
ira,hacer cumplir,,sí,,NRC EmoLex,media,
ira,enemistad,,sí,,NRC EmoLex,media,
ira,esclavizado,,sí,,NRC EmoLex,media,
ira,enredado,,sí,,NRC EmoLex,media,
ira,epidemia,,sí,,NRC EmoLex,media,
ira,erradicar,,sí,,NRC EmoLex,media,
ira,erradicación,,sí,,NRC EmoLex,media,
ira,estallar,,sí,,NRC EmoLex,media,
ira,erupción,,sí,,NRC EmoLex,media,
ira,escalar,,sí,,NRC EmoLex,media,
ira,evitar,,sí,,NRC EmoLex,media,
ira,evadir,,sí,,NRC EmoLex,media,
ira,desalojo,,sí,,NRC EmoLex,media,
ira,demonio,,sí,,NRC EmoLex,media,
ira,exacerbación,,sí,,NRC EmoLex,media,
ira,exagerar,,sí,,NRC EmoLex,media,
ira,exasperación,,sí,,NRC EmoLex,media,
ira,excitación,,sí,,NRC EmoLex,media,
ira,excitar,,sí,,NRC EmoLex,media,
ira,ejecución,,sí,,NRC EmoLex,media,
ira,verdugo,,sí,,NRC EmoLex,media,
ira,exilio,,sí,,NRC EmoLex,media,
ira,expulsar,,sí,,NRC EmoLex,media,
ira,expletivo,,sí,,NRC EmoLex,media,
ira,explotar,,sí,,NRC EmoLex,media,
ira,explosivo,,sí,,NRC EmoLex,media,
ira,expulsión,,sí,,NRC EmoLex,media,
ira,exterminio,,sí,,NRC EmoLex,media,
ira,extinguir,,sí,,NRC EmoLex,media,
ira,defecto,,sí,,NRC EmoLex,media,
ira,erróneo,,sí,,NRC EmoLex,media,
ira,falsedad,,sí,,NRC EmoLex,media,
ira,falsificación,,sí,,NRC EmoLex,media,
ira,fatal,,sí,,NRC EmoLex,media,
ira,miedo,,sí,,NRC EmoLex,media,
ira,tarifa,,sí,,NRC EmoLex,media,
ira,sentimiento,,sí,,NRC EmoLex,media,
ira,cercado,,sí,,NRC EmoLex,media,
ira,feroz,,sí,,NRC EmoLex,media,
ira,ferocidad,,sí,,NRC EmoLex,media,
ira,fervor,,sí,,NRC EmoLex,media,
ira,feudo,,sí,,NRC EmoLex,media,
ira,feudalismo,,sí,,NRC EmoLex,media,
ira,mentira,,sí,,NRC EmoLex,media,
ira,demonio,,sí,,NRC EmoLex,media,
ira,intenso,,sí,,NRC EmoLex,media,
ira,lucha,,sí,,NRC EmoLex,media,
ira,lucha,,sí,,NRC EmoLex,media,
ira,armas de fuego,,sí,,NRC EmoLex,media,
ira,encaja,,sí,,NRC EmoLex,media,
ira,flagrante,,sí,,NRC EmoLex,media,
ira,lana,,sí,,NRC EmoLex,media,
ira,azotar,,sí,,NRC EmoLex,media,
ira,fluctuación,,sí,,NRC EmoLex,media,
ira,enemigo,,sí,,NRC EmoLex,media,
ira,incursión,,sí,,NRC EmoLex,media,
ira,amenazante,,sí,,NRC EmoLex,media,
ira,fuerza,,sí,,NRC EmoLex,media,
ira,a la fuerza,,sí,,NRC EmoLex,media,
ira,antebrazo,,sí,,NRC EmoLex,media,
ira,perder,,sí,,NRC EmoLex,media,
ira,abandonado,,sí,,NRC EmoLex,media,
ira,falta,,sí,,NRC EmoLex,media,
ira,fraude,,sí,,NRC EmoLex,media,
ira,fraudulento,,sí,,NRC EmoLex,media,
ira,frenético,,sí,,NRC EmoLex,media,
ira,frenético,,sí,,NRC EmoLex,media,
ira,fricción,,sí,,NRC EmoLex,media,
ira,espantoso,,sí,,NRC EmoLex,media,
ira,ceñudo,,sí,,NRC EmoLex,media,
ira,frustrar,,sí,,NRC EmoLex,media,
ira,frustrado,,sí,,NRC EmoLex,media,
ira,frustración,,sí,,NRC EmoLex,media,
ira,fugitivo,,sí,,NRC EmoLex,media,
ira,echando humo,,sí,,NRC EmoLex,media,
ira,furioso,,sí,,NRC EmoLex,media,
ira,furiosamente,,sí,,NRC EmoLex,media,
ira,horno,,sí,,NRC EmoLex,media,
ira,furor,,sí,,NRC EmoLex,media,
ira,furia,,sí,,NRC EmoLex,media,
ira,escándalo,,sí,,NRC EmoLex,media,
ira,hiel,,sí,,NRC EmoLex,media,
ira,horca,,sí,,NRC EmoLex,media,
ira,pandilla,,sí,,NRC EmoLex,media,
ira,caballero,,sí,,NRC EmoLex,media,
ira,algarabía,,sí,,NRC EmoLex,media,
ira,destello,,sí,,NRC EmoLex,media,
ira,deslumbrador,,sí,,NRC EmoLex,media,
ira,gnomo,,sí,,NRC EmoLex,media,
ira,impío,,sí,,NRC EmoLex,media,
ira,gonorrea,,sí,,NRC EmoLex,media,
ira,sangre,,sí,,NRC EmoLex,media,
ira,sangriento,,sí,,NRC EmoLex,media,
ira,tomar,,sí,,NRC EmoLex,media,
ira,rallado,,sí,,NRC EmoLex,media,
ira,rejilla,,sí,,NRC EmoLex,media,
ira,codicia,,sí,,NRC EmoLex,media,
ira,queja,,sí,,NRC EmoLex,media,
ira,grave,,sí,,NRC EmoLex,media,
ira,severo,,sí,,NRC EmoLex,media,
ira,ir a tientas,,sí,,NRC EmoLex,media,
ira,gruñido,,sí,,NRC EmoLex,media,
ira,gruñendo,,sí,,NRC EmoLex,media,
ira,resentimiento,,sí,,NRC EmoLex,media,
ira,brusco,,sí,,NRC EmoLex,media,
ira,queja,,sí,,NRC EmoLex,media,
ira,gruñón,,sí,,NRC EmoLex,media,
ira,guillotina,,sí,,NRC EmoLex,media,
ira,culpable,,sí,,NRC EmoLex,media,
ira,pistola,,sí,,NRC EmoLex,media,
ira,cabestro,,sí,,NRC EmoLex,media,
ira,tendón de la corva,,sí,,NRC EmoLex,media,
ira,colgando,,sí,,NRC EmoLex,media,
ira,acosar,,sí,,NRC EmoLex,media,
ira,acosando,,sí,,NRC EmoLex,media,
ira,heraldo,,sí,,NRC EmoLex,media,
ira,curtido,,sí,,NRC EmoLex,media,
ira,dañino,,sí,,NRC EmoLex,media,
ira,Harry,,sí,,NRC EmoLex,media,
ira,dureza,,sí,,NRC EmoLex,media,
ira,odio,,sí,,NRC EmoLex,media,
ira,odioso,,sí,,NRC EmoLex,media,
ira,odiando,,sí,,NRC EmoLex,media,
ira,odio,,sí,,NRC EmoLex,media,
ira,arrogante,,sí,,NRC EmoLex,media,
ira,estragos,,sí,,NRC EmoLex,media,
ira,infierno,,sí,,NRC EmoLex,media,
ira,infernal,,sí,,NRC EmoLex,media,
ira,silbido,,sí,,NRC EmoLex,media,
ira,pegar,,sí,,NRC EmoLex,media,
ira,broma,,sí,,NRC EmoLex,media,
ira,holocausto,,sí,,NRC EmoLex,media,
ira,Vagabundo,,sí,,NRC EmoLex,media,
ira,homicida,,sí,,NRC EmoLex,media,
ira,homicidio,,sí,,NRC EmoLex,media,
ira,honesto,,sí,,NRC EmoLex,media,
ira,capucha,,sí,,NRC EmoLex,media,
