Emocion,Termino_emocional,Lista_sinonimos,Negacion_Considerar,Respuesta,Notas_Culturales
dolor,agüite,tristeza profunda,no,"Me doy cuenta de que sientes agüite. Aquí estoy si quieres desahogarte.","Sustantivo coloquial mexicano para ""tristeza"" o ""depresión leve""."
tristeza,depresión,melancolía,sí,"Siento que te sientes con depresión o melancolía. Es importante que sepas que no estás solo/a. ¿Quieres contarme qué te preocupa?","Universal."
tristeza,desesperanza,aflicción,sí,"Parece que estás sin esperanza. Estoy aquí para apoyarte si quieres hablar o si necesitas explorar opciones.","Universal."
tristeza,soledad,aislamiento,sí,"¿Te sientes solo/a? Es una emoción difícil. Estoy aquí para escucharte y acompañarte.","Universal."
tristeza,aflicción,desconsuelo,sí,"Lamento que te sientas con tanta aflicción. ¿Quieres compartir lo que te afecta?","Universal."
tristeza,nostalgia,melancolía,sí,"Parece que sientes nostalgia. ¿Hay algo de lo que extrañes que te gustaría recordar o hablar?","Universal."
tristeza,bajoneado,desanimado,no,"Te noto un poco bajoneado/a. A veces un día así pasa. ¿Quieres platicar?","Coloquial en México para ""desanimado"", ""triste""."
tristeza,me siento agüitado,triste,no,"Entiendo, te sientes agüitado. Es una emoción válida. ¿Qué te ayudaría a sentirte un poco mejor?","Modismo muy común en México."
tristeza,ando con la pila baja,desanimado,no,"Parece que andas con la pila baja hoy. ¿Hay algo que te agobie?","Modismo mexicano para estar desanimado, sin energía."
alegría,felicidad,júbilo,sí,"¡Qué bueno que te sientes feliz! ¿Quieres compartir qué te ha hecho sentir tan bien?","Universal."
alegría,entusiasmo,alegría,sí,"Es genial que estés entusiasmado/a. ¡Me contagias la energía! ¿Quieres contarme qué te motiva?","Universal."
alegría,emoción,regocijo,sí,"¡Veo que estás emocionado/a! ¡Qué bien! ¿Quieres contarme qué te ha pasado?","Universal."
alegría,diversión,placer,sí,"¡Qué divertido! Me alegra que la estés pasando bien. ¿Quieres contarme qué te hizo sentir así?","Universal."
alegría,optimismo,esperanza,sí,"¡Qué bien que estás optimista! ¡Me da gusto escucharlo! ¿Quieres compartir qué te inspira?","Universal."
alegría,chido,padre,no,"¡Qué chido que te sientes así! ¡Me alegra mucho escucharlo!","Coloquial y muy común en México para ""genial"", ""muy bueno""."
alegría,a toda madre,excelente,no,"¡Guau, a toda madre! ¡Qué gusto que te sientas así de bien!","Expresión muy coloquial y fuerte de gran alegría o satisfacción en México."
alegría,qué padre,genial,no,"¡Qué padre que te sientas así! ¡Me da mucho gusto!","Modismo muy común en México para ""genial"", ""excelente""."
alegría,estar de buenas,feliz,no,"Hoy amaneciste de buenas, ¿verdad? ¡Me alegra mucho!","Modismo mexicano para estar de buen humor."
asco,repulsión,aversión,sí,"Parece que algo te está causando asco. ¿Quieres contarme qué pasa?","Universal."
asco,náusea,repugnancia,sí,"Si sientes náuseas o asco, es importante. ¿Qué fue lo que te generó esa sensación?","Universal, pero ""asco"" se usa más amplio."
asco,me da cosa,disgusto,no,"Uy, parece que eso 'te dio cosa'. ¿Qué fue lo que te generó esa sensación?","Coloquial en México para generar una sensación de repulsión o incomodidad (no necesariamente física)."
asco,qué oso,vergüenza ajena,no,"¡Ay, qué oso! Entiendo que te dé vergüenza o repulsión. ¿Quieres platicar?","Modismo mexicano para sentir vergüenza ajena o una fuerte repulsión por algo embarazoso."
culpa,remordimiento,arrepentimiento,sí,"Noto que sientes culpa. Es una emoción compleja. ¿Quieres hablar de lo que te hace sentir así?","Nueva emoción propuesta."
culpa,cargo de conciencia,responsabilidad,no,"Parece que tienes un cargo de conciencia. Estoy aquí para escucharte sin juzgar.","Nueva emoción propuesta, modismo."
vergüenza,bochorno,humillación,sí,"Veo que sientes vergüenza. Es una emoción difícil de manejar. ¿Quieres contarme qué la causó?","Nueva emoción propuesta."
vergüenza,pena ajena,incomodidad,no,"¡Uy, me da pena ajena eso! Entiendo que te sientas incómodo/a. ¿Qué pasó?","Nueva emoción propuesta, modismo mexicano."
